https://www.transport.act.gov.au/__data/assets/file/0006/1249692/AllStops.csv
#
#
#
Stop	Description	Latitude	Longitude	Street
0200	Longstay Caravan Park in Grounds SSO	-35.34722725	149.1528286	PATH
0201	Fremantle Dr after 1st McKail Cr	-35.34704304	149.047943	FREMANTLE DR
0300	Ainslie PS Donaldson St	-35.27362047	149.1408286	DONALDSON ST
0401	MacFarlane Burnet Av after 1st Eccles Cct	-35.21605976	149.0030503	MACFARLANE BURNET AV
0402	MacFarlane Burnet Av before Hollows Cct	-35.21283598	149.0041893	MACFARLANE BURNET AV
0403	MacFarlane Burnet Av after Hollows Cct	-35.21266486	149.0040159	MACFARLANE BURNET AV
0404	MacFarlane Burnet Av before De Gruchy Pl	-35.21619981	149.0031405	MACFARLANE BURNET AV
0405	MacFarlane Burnet Av after Constance Stone St	-35.20934329	149.0032203	MACFARLANE BURNET AV
0406	MacFarlane Burnet Av opp Constance Stone St	-35.20929506	149.0029752	MACFARLANE BURNET AV
0600	O'Hanlon Pl after Gold Creek Rd	-35.192122	149.0859699	O'HANLON PL
0601	O'Hanlon Pl before Gold Creek Rd	-35.1921428	149.0860704	O'HANLON PL
1001	Drumston St opp MacKillop College	-35.4261117	149.0916072	DRUMSTON ST
1002	Mackillop College Drumston St	-35.42597381	149.0917094	DRUMSTON ST
1007	Ellerston Av opp Isabella Plains Shops	-35.42786162	149.0910269	ELLERSTON AV
1008	Isabella Plains Shops Ellerston Av	-35.42747708	149.0914201	ELLERSTON AV
1009	Mackillop College Ellerston Av	-35.42565413	149.0954832	ELLERSTON AV
1010	Ellerston Av opp Mackillop College	-35.42576441	149.0954662	ELLERSTON AV
1011	Ellerston Av before 1st Abercorn Cr	-35.42636751	149.0980084	ELLERSTON AV
1012	Ellerston Av opp 2nd Abercorn Cr	-35.42660277	149.0981136	ELLERSTON AV
1013	Ellerston Av before 2nd Abercorn Cr	-35.42848559	149.100623	ELLERSTON AV
1014	Ellerston Av before 2nd Groveland Cr	-35.42839101	149.1003595	ELLERSTON AV
1015	Ellerston Av before Ashley Dr	-35.4287905	149.1028888	ELLERSTON AV
1016	Ellerston Av after Ashley Dr	-35.42892209	149.1028383	ELLERSTON AV
1017	Calwell Shops Webber Cr	-35.4350942	149.1137449	WEBBER CR
1018	Boddington Cr after Bacchus Cct	-35.37938718	149.0548827	BODDINGTON CR
1019	Casey Cr before Carpenter Cl	-35.43666067	149.1112899	CASEY CR
1020	Casey Cr opp Carpenter Cl	-35.43685865	149.1108456	CASEY CR
1027	Duggan St after Downard St	-35.43986366	149.0986241	DUGGAN ST
1028	Duggan St after Beckett St	-35.43983554	149.0984791	DUGGAN ST
